id,distance,group,treatment,sex
g19-b2-1,3328.9218879354403,19,b2,f
g2-b1-1,1262.2646961617502,2,b1,m
g13-b2-1,2178.90738595691,13,b2,f
g6-red-1,2203.5355017193187,6,red,m
g8-b2-1,2830.363011073412,8,b2,m
g23-b1-1,2215.966795179016,23,b1,f
g1-bla-2,2891.197697557724,1,bla,m
g14-red-1,2828.1010433157094,14,red,f
g21-bla-1,4143.889753616417,21,bla,f
g11-red-1,1814.04444408113,11,red,m
g2-bla-1,1972.219799366229,2,bla,m
g8-b1-1,2441.7433620594147,8,b1,m
g17-red-1,3247.4639094170107,17,red,f
g12-b1-1,3083.1306507657537,12,b1,m
g17-bla-1,4680.075423417789,17,bla,f
g8-red-1,2431.5263404457496,8,red,m
g22-red-1,3254.5495287564518,22,red,f
g18-b1-1,3265.781060112012,18,b1,f
g6-b1-1,2090.922160279125,6,b1,m
g11-b2-1,1174.181700242775,11,b2,m
g6-b2-1,1881.7870693996515,6,b2,m
g18-b2-1,2612.3227045933127,18,b2,f
g4-b2-1,2618.954890237658,4,b2,m
g5-b1-1,1865.8447973602197,5,b1,m
g17-b1-1,3465.5500646426467,17,b1,f
g10-b1-1,2810.4834994697158,10,b1,m
g13-b1-1,2651.2268811563736,13,b1,f
g20-b1-1,2047.525725054806,20,b1,f
g11-b1-1,2987.532466888393,11,b1,m
g16-b1-1,3536.0360909442284,16,b1,f
g17-b2-1,3488.8827825149206,17,b2,f
g9-b1-1,2631.96119584097,9,b1,m
g16-red-1,3029.143805448378,16,red,f
g4-b2-2,2608.3682523179896,4,b2,m
g20-b2-1,4273.220991000482,20,b2,f
g21-b1-1,3057.3122827006555,21,b1,f
g22-b1-1,3365.8868856485,22,b1,f
g1-b2-1,1005.8506203000927,1,b2,m
g14-bla-1,3648.5584429847236,14,bla,f
g5-b2-1,2240.166467570852,5,b2,m
g15-b1-1,3654.6531636663353,15,b1,f
g16-b2-1,3976.200017948129,16,b2,f
g8-bla-1,2784.965247162848,8,bla,m
g19-red-1,1907.658079357151,19,red,f
g21-red-1,2808.9501926326093,21,red,f
g13-red-1,3334.893066254137,13,red,f
g24-bla-1,3393.4106451891794,24,bla,f
g18-red-1,1635.8940705905022,18,red,f
g9-b2-1,2981.24972654676,9,b2,m
g10-b2-1,2996.356267021604,10,b2,m
g22-bla-1,4816.672847709779,22,bla,f
g24-red-1,3366.410347290563,24,red,f
g21-b2-1,2841.2284060256507,21,b2,f
g7-b2-1,1336.8892798420618,7,b2,m
g22-b2-1,1828.7265279823987,22,b2,f
g15-red-1,4584.813814061486,15,red,f
g1-red-1,2521.3512160347964,1,red,m
g15-b2-1,2925.209501888773,15,b2,f
g2-red-2,1978.782791630556,2,red,m
g16-bla-1,3950.721089147177,16,bla,f
g3-b1-1,1864.562456995703,3,b1,m
g12-bla-1,1531.0852830628094,12,bla,m
g3-bla-1,1755.872193997041,3,bla,m
g13-bla-1,2927.4029671661774,13,bla,f
g23-b2-1,2350.5648246082465,23,b2,f
g7-b1-1,1901.708437822973,7,b1,m
g19-bla-1,2775.9895873801693,19,bla,f
g19-b1-1,1558.6641602170753,19,b1,f
g15-bla-1,3344.308232291488,15,bla,f
g4-b1-1,3077.5860328461254,4,b1,m
g20-bla-1,2035.2866806967527,20,bla,f
g5-b1-2,2424.572288595888,5,b1,m
g23-red-1,3595.8785212004173,23,red,f
g9-bla-1,4039.625187408409,9,bla,m
g4-bla-1,2908.6195112138403,4,bla,m
g7-red-1,2277.2122630585454,7,red,m
g1-bla-1,2385.7585890337155,1,bla,m
g6-bla-1,2041.208493778568,6,bla,m
g9-red-1,4347.684629195612,9,red,m
g24-b2-1,4610.913119186953,24,b2,f
g3-b2-1,1477.9053648750444,3,b2,m
g10-bla-1,3315.3964431526274,10,bla,m
g3-red-1,1850.8817664636285,3,red,m
g14-b1-1,3075.8335731784045,14,b1,f
g18-bla-1,2111.929194113131,18,bla,f
g23-bla-1,2731.6958435609363,23,bla,f
g20-red-1,2745.561954121701,20,red,f
g14-b2-1,3273.0237833237325,14,b2,f
g7-bla-1,1543.9781920972,7,bla,m
g5-red-1,1717.9155759433097,5,red,m
g2-red-1,2597.1872805550497,2,red,m
g11-bla-1,2280.9305417127343,11,bla,m
g12-b2-1,2146.00325962748,12,b2,m
g24-b1-1,4117.665937490447,24,b1,f
g12-red-1,1398.8278963479706,12,red,m
g10-red-1,2814.1878420697853,10,red,m
